fromRegion,toFacility,decisionPeriod,quantity
11,44,130,154.57011256180584
11,44,140,4999682.829270525
11,44,150,5000000.0
12,1,20,5000000.0
12,1,40,5000000.0
12,1,50,5000000.0
12,1,60,5000000.0
12,1,90,4999958.373794041
12,1,110,4999975.214937304
12,1,130,5000000.0
12,1,140,5000000.0
12,1,150,5000000.0
12,2,10,5000000.0
12,2,20,5000000.0
12,2,30,5000000.0
12,2,40,5000000.0
12,2,50,5000000.0
12,2,70,5000000.0
12,2,80,5000000.0
12,2,100,5000000.0
12,2,110,5000000.0
12,2,130,5000000.0
12,2,140,5000000.0
12,2,150,5000000.0
12,4,10,5000000.0
12,4,20,366.2015866993152
12,4,50,5000000.0
12,4,80,5000000.0
12,4,110,5000000.0
12,4,120,222.58355225164567
12,4,130,5000000.0
12,10,10,5000000.0
12,10,30,5000000.0
12,10,60,5000000.0
12,10,70,4999977.971266359
12,10,80,4999946.959249912
12,10,90,5000000.0
12,10,100,5000000.0
12,10,110,5000000.0
12,10,120,5000000.0
12,12,10,5000000.0
12,12,20,5000000.0
12,12,30,5000000.0
12,12,40,5000000.0
12,12,50,5000000.0
12,12,60,5000000.0
12,12,70,5000000.0
12,12,80,5000000.0
12,12,90,5000000.0
12,12,100,5000000.0
12,12,110,5000000.0
12,12,120,5000000.0
12,12,130,5000000.0
12,12,140,5000000.0
12,12,150,5000000.0
12,14,10,5000000.0
12,14,70,4999999.973189993
12,14,100,5000000.0
12,14,110,5000000.0
12,14,120,39.00213784205238
12,14,140,5000000.0
12,14,150,5000000.0
12,15,20,5000000.0
12,15,30,5000000.0
12,15,40,5000000.0
12,15,50,5000000.0
12,15,80,5000000.0
12,15,90,5000000.0
12,15,100,5000000.0
12,15,120,4999655.484132751
12,15,140,5000000.0
12,20,20,5000000.0
12,20,50,5000000.0
12,20,60,5000000.0
12,20,80,5000000.0
12,20,120,5000000.0
12,23,20,5000000.0
12,23,30,5000000.0
12,23,40,5000000.0
12,23,50,5000000.0
12,23,70,5000000.0
12,23,90,5000000.0
12,23,120,5000000.0
12,23,130,5000000.0
12,23,140,5000000.0
12,23,150,5000000.0
12,33,10,5000000.0
12,33,30,61.706462551374834
12,33,40,5000000.0
12,33,60,5000000.0
12,33,70,5000000.0
12,33,80,5000000.0
12,33,100,5000000.0
12,33,120,5000000.0
12,33,130,5000000.0
12,33,140,5000000.0
12,39,10,5000000.0
12,39,20,5000000.0
12,39,70,5000000.0
12,39,110,5000000.0
12,39,120,106.83697279486717
12,39,130,4999970.416446107
12,39,150,5000000.0
12,45,20,5000000.0
